Feature,TF-IDF Importance
amid,9.403163964262056
happen,9.35652413394469
appear,9.350737563968185
200,9.335908433381995
open,9.312593929945654
pro,9.31009994496805
account,9.302222900369118
among,9.285849111130304
leave,9.262362298624742
office,9.230470551502803
ally,9.213900402206901
medical,9.204227270112593
middle,9.197282090070336
land,9.166386615306962
however,9.165379497954062
former,9.163298920421104
north,9.15062129216711
high,9.125381152968775
shelter,9.112623740568054
vote,9.056962870613047
in,9.05352681376087
cabinet,9.0469225576125
assault,9.028311822683904
accuse,9.01740556455634
left,9.014654500365184
hour,9.00540119922478
school,9.000771496945388
team,8.952324777637047
organization,8.944700216421774
become,8.94397847706472
staff,8.893548344238894
earlier,8.842735514070176
bring,8.827087109382415
article,8.821628159132308
along,8.81622640873508
increase,8.806490517675437
vehicle,8.805740668954181
much,8.799703415560632
expect,8.743214347205123
region,8.741989072417399
settlement,8.696151885670536
threat,8.67940254580322
aviv,8.676036967713417
enable,8.651974167487042
tel,8.643379719021466
tension,8.637068091011242
refugee,8.632850137126301
change,8.617041965252334
base,8.606456191135345
seven,8.519856198604147
investigation,8.502972502806251
enclave,8.494657473904565
next,8.492384914529909
visit,8.488382873919983
question,8.44060155392395
control,8.412153949745592
ben,8.40459809256709
despite,8.40217475044731
unrwa,8.384040946789087
truck,8.367896247963786
prisoner,8.342615733704125
unit,8.333302922502508
resident,8.32446909133897
dozen,8.289297085509576
die,8.276607627295508
khan,8.269310184764382
case,8.261307298985093
convoy,8.236721739905818
past,8.223750141712964
act,8.220963555098326
damage,8.217842411326181
raid,8.172593185705688
intelligence,8.123745463750922
whether,8.108484381887058
wound,8.076154996879652
ago,8.071558362343225
icc,8.062477613916997
think,8.039320219803168
top,7.994194451827217
agreement,7.978966280564299
shot,7.978707272171503
hundred,7.955532963482505
claim,7.902948487426293
system,7.895318744860798
respond,7.88982986079317
injured,7.875357615872961
exit,7.862641415266811
content,7.847265489311749
subscriber,7.836861060896221
urge,7.807670648619106
morning,7.80520268737007
cause,7.8020636482198755
retrieve,7.758100508299399
genocide,7.753994553616985
dead,7.752810924802383
hold,7.752460989061912
step,7.742360388828518
site,7.7233637119977745
continued,7.719559652787044
attempt,7.709437831862497
service,7.6735318008553905
