Feature,TF-IDF Importance
supply,9.572177420891805
administration,9.545245409521065
account,9.478771734745076
leave,9.474154490111696
amid,9.464205560237184
army,9.463909090875985
medical,9.45572357854439
open,9.443195325731258
syria,9.423879296405133
uk,9.408245546555676
former,9.393885694092589
night,9.36307693826806
accuse,9.328130256266821
middle,9.303497505986012
office,9.291106225652602
ally,9.262001186759116
bring,9.245232103136376
land,9.222870722941904
vote,9.204884049247633
become,9.161763144119368
among,9.134135261959937
assault,9.099929450108647
increase,9.087256296989203
school,9.058621522477312
shelter,9.056607060078157
later,9.050266030282764
team,9.03085195023345
article,9.022773046326737
expect,9.022655206374406
hour,9.009074507899351
blinken,8.986987771294201
tel,8.96808211562983
along,8.945939699208472
vehicle,8.93823243224567
staff,8.929172447174418
organization,8.926069757560663
visit,8.89447164410583
cabinet,8.864789848944245
enable,8.851767478670347
much,8.82107515988272
threat,8.81780209242737
base,8.80818768626886
tension,8.783725919545144
gantz,8.771678593017036
refugee,8.74918095799479
general,8.720830692518565
question,8.694164308591846
settlement,8.690411192201207
palestine,8.66980915513028
north,8.658671822245047
change,8.652258954339931
investigation,8.637511789014429
however,8.609321986977234
resident,8.597673904150346
next,8.59177066906993
control,8.552480920286431
high,8.542277600821608
long,8.533922283991952
think,8.519737255474311
al,8.519003876771723
left,8.507490571551287
act,8.504694741566551
dozen,8.480797755037646
die,8.462953997695076
past,8.459631179825323
region,8.44314497818333
truck,8.432760101975374
earlier,8.416076670726522
enclave,8.415030407932573
hamasrun,8.36039777454526
khan,8.315588718491291
whether,8.298360806784103
convoy,8.29459501307879
wound,8.293183644457715
damage,8.280299688681497
secretary,8.264782845782886
aviv,8.24260339376688
shot,8.239163590896343
case,8.238984294205666
raid,8.216672975695612
prisoner,8.212579017705869
agreement,8.212521888540786
six,8.204017848542735
full,8.184617800759048
claim,8.178397187735657
hundred,8.13509002893411
intelligence,8.10522778527295
israelrsquos,8.087431099300504
respond,8.083659406499898
system,8.0415129308612
seven,8.025295835037229
attempt,8.024518064554313
cause,8.009834518345206
exit,7.990998750719243
urge,7.987240291117644
ago,7.982896666821881
hold,7.975937206818319
top,7.9561789421147395
content,7.953467296898115
despite,7.952590388973322
icc,7.945723745719965
write,7.877069054947959
retrieve,7.86747093329404
injured,7.818564396775042
receive,7.803564040936186
run,7.802538646212322
continued,7.782684079800884
sign,7.766645650472516
step,7.746358145972606
service,7.741131600772559
social,7.724081993744885
every,7.715938345428997
site,7.710408875513494
trouble,7.707686877276129
look,7.691733516846801
position,7.688387906517555
agree,7.675863756164396
1200,7.672212786478166
concern,7.6618304779006845
immediate,7.658511945431867
story,7.656141953259281
genocide,7.633204974678059
reader,7.608994187518376
unit,7.593159029010791
york,7.590645181644167
grow,7.55964202175899
condition,7.55779908107352
white,7.506668979978652
major,7.480269007922563
mother,7.472449830890609
mode,7.4643776538981905
dead,7.4611254866005705
morning,7.455354547366423
setting,7.4454098495189625
man,7.427749369285885
orsubscribefor,7.418798159872627
andlog,7.418798159872627
timessubscribe,7.418798159872627
browser,7.418798159872627
javascript,7.418798159872627
intoyour,7.418798159872627
subscriberlog,7.418798159872627
fighter,7.412488655628748
confirm,7.399578160327218
second,7.395657553169
unrwa,7.389208464310794
policy,7.365711981033152
criminal,7.3334072880274235
express,7.333018546822347
conduct,7.328565104754321
lebanese,7.315431546466683
jordan,7.313112046460061
